"Label","New York city, New York!!Total!!Estimate","New York city, New York!!Total!!Margin of Error","New York city, New York!!Male!!Estimate","New York city, New York!!Male!!Margin of Error","New York city, New York!!Female!!Estimate","New York city, New York!!Female!!Margin of Error"
"Total population","8,550,405","*****","4,081,698","±1,208","4,468,707","±1,208"
"AGE","","","","","",""
"    Under 5 years","6.7%","±0.1","7.1%","±0.1","6.2%","±0.1"
"    5 to 9 years","5.6%","±0.1","6.1%","±0.1","5.2%","±0.1"
"    10 to 14 years","5.5%","±0.1","5.8%","±0.1","5.2%","±0.1"
"    15 to 19 years","5.5%","±0.1","5.8%","±0.1","5.2%","±0.1"
"    20 to 24 years","7.1%","±0.1","7.3%","±0.1","7.0%","±0.1"
"    25 to 29 years","9.4%","±0.1","9.5%","±0.1","9.2%","±0.1"
"    30 to 34 years","8.5%","±0.1","8.7%","±0.1","8.3%","±0.1"
"    35 to 39 years","7.3%","±0.1","7.4%","±0.2","7.3%","±0.2"
"    40 to 44 years","6.5%","±0.1","6.7%","±0.2","6.4%","±0.2"
"    45 to 49 years","6.5%","±0.1","6.6%","±0.1","6.5%","±0.1"
"    50 to 54 years","6.6%","±0.1","6.5%","±0.1","6.6%","±0.1"
"    55 to 59 years","6.1%","±0.1","6.0%","±0.2","6.2%","±0.1"
"    60 to 64 years","5.4%","±0.1","5.2%","±0.1","5.6%","±0.1"
"    65 to 69 years","4.4%","±0.1","4.0%","±0.1","4.8%","±0.1"
"    70 to 74 years","3.0%","±0.1","2.7%","±0.1","3.3%","±0.1"
"    75 to 79 years","2.3%","±0.1","2.1%","±0.1","2.5%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.3%","±0.1","2.0%","±0.1"
"    85 years and over","1.8%","±0.1","1.2%","±0.1","2.4%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.2%","±0.1","11.9%","±0.1","10.5%","±0.1"
"    15 to 17 years","3.3%","±0.1","3.5%","±0.1","3.1%","±0.1"
"    18 to 24 years","9.3%","±0.1","9.5%","±0.1","9.1%","±0.1"
"    15 to 44 years","44.3%","±0.1","45.3%","±0.1","43.5%","±0.1"
"    16 years and over","81.1%","±0.1","79.8%","±0.1","82.3%","±0.1"
"    18 years and over","78.9%","±0.1","77.4%","±0.1","80.2%","±0.1"
"    60 years and over","18.6%","±0.1","16.5%","±0.2","20.6%","±0.1"
"    62 years and over","16.2%","±0.1","14.3%","±0.1","18.1%","±0.1"
"    65 years and over","13.2%","±0.1","11.3%","±0.1","14.9%","±0.1"
"    75 years and over","5.8%","±0.1","4.5%","±0.1","6.9%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.0","±0.1","34.8","±0.1","37.2","±0.2"
"    Sex ratio (males per 100 females)","91.3","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","52.2","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","20.1","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","32.1","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.6%","(X)","(X)","(X)","(X)","(X)"
